content,score,sentiment
"Moonton game apa ini,Di kasih team yang bego semua,Makin lama makin parah di kasih team bot doang cape",1,Negatif
"Capek anjir main dapet tim bot, sampai kapan gini anjir, dari mitikk turun lg ke gm, anjir anjir",1,Negatif
Setelah bermain game ini saya menjadi setengah gila gara gara dikasih tim ga kompak terus menerus,1,Negatif
Banyak drk system bb,2,Negatif
Benerin dulu apk lu montoon masak jaringan bagus kalo war ping tinggi sendiri²lu kalo mau nurunin rank g gt lah cara nya bisa²player lama malah di kasih drak sistem mulu ngotak dikit lah moonton udah habis hp aja gara²lu ngasih drack sistem ga jelas jaringan hp bagus tiba²lag kalo pas war g ngotak kli,1,Negatif
saya kcewa dengan monton maennya gak bermutu dan slalu kalah,1,Negatif
"Gua tidak melakukan apk tapi kau buat apk,saya udah honor tapi kau kasih saya tim legend, yg bener lah kau buat prmainan, tidak seimbang dgn gemplay saya,capek saya kena drak sistem.lama lama gem ini bikin org stres, bukan menghilangkan stres, tpi menambah stres😡",1,Negatif
"game gajelas, udh glory masih ada aja bot, sepi game ini lama lama",1,Negatif
"game aneh masa gua dapat tim yang lawak mulu , sedangkan lawan gue normal semua",1,Negatif
Tolong lacak akun JAVHIHI... DIA UDAH HINA AGAMA ISLAM.. UDAH SYA LAPOR PIHAK BERWAJIB,1,Negatif
najissssssss,1,Negatif
Tim yang jelas lah matchmaking bab!,1,Negatif
"Kenapa sih suka dikasih dark sistem? Moonton plis jangan gitu lah gua mainnya jadi kesel bawaannya pen hapus aja ni game, gw doain lu ytim miskin ccat bgsat",1,Negatif
Orang mah mikir dong moonton kalo ngasih team yang bener main bukan kebanyak anak trool,1,Negatif
"Moonton is dog When playing magic chess, you know your opponent will lose, but you still meet him 3 times in a row without changing your opponent",1,Negatif
"Monton memang taiiiii....di kasih menang 2x, kalah sampek 5x",1,Negatif
"TOLONG KOMINFO HAPUS AJA GAME INI DARI NEGARA, GA GUNA BUAT NEGARA JUGA SISTEM LAMA2 NGACO",1,Negatif
Meta tank mulu bosen,1,Negatif
Game ini sangat bikin emosi,1,Negatif
"Kecewa berat sama sistem moonton yang sekarang kalo ngasih dark sistem nya gak kira-kira, apalagi sekarang banyak akun jokian sistem pembagian tim nya pun gak sesuai sama tier kita. Lama-lama vacum dari ml",1,Negatif
"Apaan mejic cess guardian gak ngotak defense sama attack nya, jadi mudah yang menang ketebak jadi gak seru main nya",1,Negatif
Pertama kali Nemu game begini anek yang buat nya moga mati amin,1,Negatif
Moonton dark sistem,1,Negatif
Tambah sini semakin gak jls montoon ngasih team yg abis kalah terus game rusakkk,1,Negatif
Pengaturan playernya sampah,1,Negatif
Mohon maaf admin ML alias montoon Gue kecewa banget skrng.. kredit skor gue turun trs.di ban Mulu skrng j gue di ban 3 hari poin sisa 83 . padahal gak afk CMN sering hilang jaringan trs setiap main gara2 di upgrade Mulu...tolol makin berat ram nya GK mikirin org Laen gmn,1,Negatif
BYE MOBILE LEGEND GAME AMPAS SINYAL LAG CHEATER DIMANA-MANA MATCHMAKING AMBURADUL MENDING GUA UNINSTALL AJA ANJEEEEEEEEENG,2,Negatif
Game gak waras kalah hampir 18x menang 2/3x aja yang bener aja lah sistem apasi,1,Negatif
WOI SISTEM MAGIC WHEEL RATE GACHA BENERINLAH BEGO BANGET MOONTON SISTEM AMPAS KAPITALIS 🤡,1,Negatif
"Aplikasi mobile legend sekarang makin update makin buruk, sering leg dan kadang kluar sendri , aplikasi apaan ini, tolong perbaiki",1,Negatif
Dikasih ls mulu anj. Berusaha sendiri. Dapet tim kek 💩 semua,1,Negatif
"Monton yg adil dong matcmakingnya sa kurang satu bintang naik peringkat rank ,,,,di kasi lostrek nyampe trn rank ,,,,,,,yg adil dong ngasi lawan ga sesuai sama skil tim,sedang tim sy biasa ,,,,,,dapet tim pro ,,,,,yg ada draksistem lostrek",2,Negatif
"tolong lh monton klo ngasih tim atau musuh yg seimbang,masa di kasi tim yg peed atau trol mulu baru musuh di kasih yg jago semua,masa lu jadi salah satu game terbaik kayak begitu,tolong di perbaiki lah sistemnya monton",1,Negatif
"Game ini sebaiknya dihapuskan, karena tidak layak untuk dimain oleh beberapa kalangan yang mana merusak mental psikis",1,Negatif
Main ml gak seru losterk terus,1,Negatif
"Tolong lah knpa di pertandingan pertama ga ada patah"" di pertandingan kedua patah"" parah ini padahal jaringan bagus",2,Negatif
GAME AJGGGGGG,1,Negatif
sangat tidak puas karena terlalu banyak dark system,1,Negatif
Biadab emang gadikasih team yang sepadan sama lawan di mode ranked,2,Negatif
Gaada skin gratis,2,Negatif
Monton asu mau ke mitim banyak dak sistem,1,Negatif
"Di kasih black sistem mulu ,gw trauma sama mobile lagend dikasih menang dikasih kalah kalau ga niat kasih game ga usah ada ML,ntar alesannya Screenshot dulu,tapi ga terjadi apa apa cuman bisa bicara maaf atas ketidaknyamanannya Halah cuih,Sinyal hp jadi ngelag 4× winstreak kalah berturut turut lu niat kasih game g",1,Negatif
Makin ke sni makin bnyk player yang asal main di rank tinggi contoh nya di rank mytic honnor saya main dari 46 turun ke mytic biasa gmn sih cape main sama player yang ga ngerti main,2,Negatif
"Makin ribet gamenya, apa² nya di sensor. Jd ga bebas. Sinyal sering lah, harus double² pk data + WiFi. Tolong di perhatikan lg. Kadang ada yg langgana WiFi. Di perhatikan lagi min. Minimal buat kalangan bawah juga biar bisa main!!! Tanpa harus pake WiFi",2,Negatif
"Buruk sekali banyak sistem,, hapus saja",1,Negatif
lagi war ping bisa bisa nya merahh tim dapet bot mulu,2,Negatif
Dikasih tim ngetrlo terus bermain selama 2 gak naik² malah turun anjig moonton,1,Negatif
Haram Jadddaaaaaahhhhhhhh!,1,Negatif
Jangan mau lah ml sekarang repooooot..... Mau di kasih menang ga ini th woi epik abadi terus,1,Negatif
Magic chess gak adil habis kalah sama satu player tiga kali ronde itu² mulu playernya padahal playernya masih ada 6,2,Negatif
MAGIC CHEST LOSE STRIKE... 🖕🖕👎👎 Sinyal eror sangat sangat parah,1,Negatif
"Sangat sangat tidak nyaman dalam bermain, aplikasi lain lancar saja Tapi main ML sinyal buruk Mengecewakan Apabila berlanjut seperti ini,lebih baik uninstall.....",1,Negatif
"Napa sih selalu aja kasih gua tim yang nuubb sedangkan lawan gua gg. Heehh om moonton gua push dari mytct honor bintang 30 sekarang udah mytict biasa, akun utama dari glory bintang 103 sekarang honor bintang 38 luu bayangin ommmmm an¥ Kalo luu ga ngasih gua tim yang gg dengan lawan boot gua do'ain bangkrut, ingat do'a orang yang terdzolimi akan mudah terkabul.",1,Negatif
"Dark moonton sistem kurang kurangi lah,,",1,Negatif
Monnton knp gue mau honor selalu dpt dark sistem trus lah gk tau di blh honor apa gmn lah,1,Negatif
"Game aneh dari tadi solo temen gw main kayak bot,musuh spek onic gaam tolol ngotak kalo buat sistem draf",1,Negatif
Ni game nambah dosa gua anjim,1,Negatif
